SIGLA,RAMO,Créditos,CICLO,CRR,CÓDIGO BANNER,BLOQUE ACADÉMICO,TRACK/ÁREA,N° VERSIONES,RESOLUCIÓN ÚLTIMA,VERSIÓN,PERIODO DE VIGENCIA,SUB-ÁREA,TIPO CURSO,TIPO OPTATIVIDAD,Alumnos del programa 2012,Alumnos que aprobaron el curso 2012,Alumnos que falta por aprobar 2012,Alumnos del programa 2013,Alumnos que aprobaron el curso 2013,Alumnos que falta por aprobar 2013,Alumnos del programa 2014,Alumnos que aprobaron el curso 2014,Alumnos que falta por aprobar 2014,Alumnos del programa 2015,Alumnos que aprobaron el curso 2015,Alumnos que falta por aprobar 2015,Alumnos del programa 2016,Alumnos que aprobaron el curso 2016,Alumnos que falta por aprobar 2016,Alumnos del programa 2017,Alumnos que aprobaron el curso 2017,Alumnos que falta por aprobar 2017,Alumnos del programa 2018,Alumnos que aprobaron el curso 2018,Alumnos que falta por aprobar 2018,201520,201522,201620,201622,201720,201722,201820,201822,201520,201522,201620,201622,201720,201722,201820,201822,SEMESTRE
IIC2233,Programación Avanzada,10,1,CRR2013,M132,"Major en Ingeniería, Diseño e Innovación - Track en Ingeniería",Track Ingeniería,1,134/2016,Vs.01,201320,Área Tecnologías de la Información y Computación,Mínimo,Cursar 20 de un área de lista 1,28,11,17,19,9,10,22,6,16,26,3,23,21,0,21,0,0,0,116,29,87,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC2143,Ingeniería de Software,10,1,CRR2013,M132,"Major en Ingeniería, Diseño e Innovación - Track en Ingeniería",Track Ingeniería,1,134/2016,Vs.01,201320,Área Tecnologías de la Información y Computación,Mínimo,Cursar 20 de un área de lista 1,28,10,18,19,5,14,22,1,21,26,0,26,21,0,21,0,0,0,116,16,100,32,48,49,58,74,97,112,131,1,1,1,1,1,1,2,2,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M127,"Major en Ingeniería, Diseño e Innovación - Track Ingeniería y Diseño",Track Ingeniería y Diseño,1,134/2016,Vs.01,201320,No aplica,Optativo,Elegir 10 entre Lista 1,11,2,9,9,2,7,11,3,8,11,1,10,7,0,7,0,0,0,49,8,41,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,8-Jul
IIC1253,Matemáticas Discretas,10,1,CRR2013,M713,Major en Investigación Operativa,No aplica,2,124/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 entre lista 3,182,38,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,38,144,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,6/7/2008
IIC2713,Sistemas de Información,10,1,CRR2013,M713,Major en Investigación Operativa,No aplica,2,124/2016,Vs.01,201320,No aplica,Optativo,Elegir 30 entre lista 3,182,174,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,174,8,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,6/7/2008
IIC1253,Matemáticas Discretas,10,1,CRR2013,M109,Major en Investigación Operativa,No aplica,2,124/2016,Vs.02,201320,No aplica,Optativo,Elegir 20 entre lista 3,23,4,19,262,48,214,241,39,202,224,9,215,245,0,245,0,0,0,995,100,895,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,8-Jul
IIC2713,Sistemas de Información,10,1,CRR2013,M109,Major en Investigación Operativa,No aplica,2,124/2016,Vs.02,201320,No aplica,Optativo,Elegir 20 entre lista 3,23,22,1,262,222,40,241,178,63,224,37,187,245,1,244,0,0,0,995,460,535,80,90,115,171,191,206,180,190,2,1,2,2,3,3,2,2,8-Jul
IIC2233,Programación Avanzada,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Mínimo,No aplica,22,20,2,9,7,2,11,10,1,19,6,13,11,0,11,0,0,0,72,43,29,53,117,110,137,143,160,223,288,2,2,2,3,3,3,4,3,5
IIC2613,Inteligencia Artificial,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre Lista 2,22,3,19,9,2,7,11,4,7,19,0,19,11,0,11,0,0,0,72,9,63,0,27,0,66,0,95,50,73,0,1,0,1,0,1,1,1,7
IIC1253,Matemáticas Discretas,10,1,CRR2013,M738,Major en Sistemas Autónomos y Robóticos,No aplica,1,111/2012,Vs.01,201320,No aplica,Optativo,Elegir 10 entre lista 3,22,6,16,9,4,5,11,2,9,19,1,18,11,0,11,0,0,0,72,13,59,95,79,118,79,133,110,150,192,1,1,1,1,1,1,1,2,7
